Product,Category,RoomData,Price (MED),Price post-tax (REC)
1G - PR - Cookie Shrek - 1.00 gram,10 for 20 Prerolls,Cake Floor: 1,1.5,2
1G - PR - Cookie Shrek - 1.00 gram,10 for 20 Prerolls,Cake Floor: 50,1.5,2
1G - PR - Cookie Shrek - 1.00 gram,10 for 20 Prerolls,Cake Floor: 29,1.5,2
1G - PR - Cookie Shrek - 1.00 gram,10 for 20 Prerolls,Cake Floor: 5,1.5,2
1G - PR - Golden S.A.G.E - 1.00 gram,10 for 20 Prerolls,Bulk Inventory: 800,1.5,2
1G - PR - Jack Herer - 1.00 gram,10 for 20 Prerolls,Cake Floor: 11,1.5,2
1G - PR - Jelly Cake - 1.00 gram,10 for 20 Prerolls,Bulk Inventory: 750,1.5,2
1G - PR - Jomo 13 - 1.00 gram,10 for 20 Prerolls,Bulk Inventory: 700,1.5,2
1G - PR - Kernal Putang #3 - 1.00 gram,10 for 20 Prerolls,Cake Floor: 86,1.5,2
1G - PR - Lilac Diesel - 1.00 gram,10 for 20 Prerolls,Bulk Inventory: 750,1.5,2
1G - PR - Lone star - 1.00 gram,10 for 20 Prerolls,Cake Floor: 41,1.5,2
1G - PR - Lone star - 1.00 gram,10 for 20 Prerolls,Cake Floor: 57,1.5,2
1G - PR - Lone star - 1.00 gram,10 for 20 Prerolls,Bulk Inventory: 100,1.5,2
1G - PR - Matchalato - 1.00 gram,10 for 20 Prerolls,Cake Floor: 1,1.5,2
1G - PR - Miami Manog - 1.00 gram,10 for 20 Prerolls,Cake Floor: 114,1.5,2
1G - PR - Miami Manog - 1.00 gram,10 for 20 Prerolls,Bulk Inventory: 1500,1.5,2
1G - PR - Peach Rings - 1.00 gram,10 for 20 Prerolls,Bulk Inventory: 500,1.5,2
1G - PR - Peach Rings - 1.00 gram,10 for 20 Prerolls,Cake Floor: 184,1.5,2
1G - PR - Pink Runtz - 1.00 gram,10 for 20 Prerolls,Cake Floor: 159,1.5,2
1G - PR - Pink Runtz - 1.00 gram,10 for 20 Prerolls,Cake Floor: 1,1.5,2
1G - PR - Purple Papaya Runtz - 1.00 gram,10 for 20 Prerolls,Cake Floor: 715,1.5,2
Grape Deisel-1G-PR - 1.00 gram,10 for 20 Prerolls,Cake Floor: 242,1.5,2
Purple Punch - 1G - PR - 1.00 gram,10 for 20 Prerolls,Cake Floor: 311,1.5,2
Infused Blunt - Animal Mintz,Blunts,Cake Floor: 2,25,30
Infused Blunt - Chingon OG,Blunts,Cake Floor: 2,25,30
Infused Blunt - Choco Flan,Blunts,Cake Floor: 2,25,30
Infused Blunt - Helado de Nuevo Mexico,Blunts,Cake Floor: 2,25,30
Infused Blunt - La Chingona,Blunts,Cake Floor: 2,25,30
Infused Blunt - Mazapan,Blunts,Cake Floor: 2,25,30
Infused Blunt - Tres Leches,Blunts,Cake Floor: 2,25,30
Infused Blunt - True OG,Blunts,Cake Floor: 1,25,30
PACKARILLOS AREA 51 3PK 2.25G,Blunts,Cake Floor: 8,45,50
PACKARILLOS MAC N CHEESE 3PK 2.25G,Blunts,Cake Floor: 9,45,50
1 Gram Cannabis Oil Cartridge | Baja Blast-Off (H) - 1.00 gram,Cartridges,Cake Floor: 4,10,12
1 Gram Cannabis Oil Cartridge | Black Cherry Seltzer (I) - 1.00 gram,Cartridges,Cake Floor: 5,10,12
1 Gram Cannabis Oil Cartridge | Black Cherry Seltzer (I) - 1.00 gram,Cartridges,Cake Floor: 2,10,12
1 Gram Cannabis Oil Cartridge | Grande Daddy Purple (I) - 1.00 gram,Cartridges,Cake Floor: 4,10,12
